isin,name,asset_class,ticker_yahoo,ticker_stooq,currency,exchange,tr_status,tr_checked_at,source,notes
IE00BMC38736,VanEck Semiconductor UCITS ETF,etf,VVSM.DE,,EUR,XETRA,assumed,,etf_core,
IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF Acc,etf,VWCE.DE,,EUR,XETRA,assumed,,etf_core,
DE000A0S9GB0,Xetra-Gold,etf,4GLD.DE,,EUR,XETRA,assumed,,etf_core,
IE00BM67HT60,Xtrackers MSCI World Information Technology,etf,XDWT.DE,,EUR,XETRA,assumed,,etf_core,
IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF,etf,XDWD.DE,,EUR,XETRA,assumed,,etf_core,
DE0005933931,iShares Core DAX UCITS ETF,etf,EXS1.DE,,EUR,XETRA,assumed,,etf_core,
IE00B53L3W79,iShares Core EURO STOXX 50 UCITS ETF,etf,SXRT.DE,,EUR,XETRA,assumed,,etf_core,
IE00BKM4GZ66,iShares Core MSCI EM IMI UCITS ETF,etf,IS3N.DE,,EUR,XETRA,assumed,,etf_core,
IE00B4L5Y983,iShares Core MSCI World UCITS ETF,etf,EUNL.DE,,EUR,XETRA,assumed,,etf_core,
IE00B5BMR087,iShares Core S&P 500 UCITS ETF,etf,SXR8.DE,,EUR,XETRA,assumed,,etf_core,
IE00B1XNHC34,iShares Global Clean Energy UCITS ETF,etf,IQQH.DE,,EUR,XETRA,assumed,,etf_core,
IE00BF4RFH31,iShares MSCI World Small Cap UCITS ETF,etf,IUSN.DE,,EUR,XETRA,assumed,,etf_core,
IE00B53SZB19,iShares Nasdaq 100 UCITS ETF,etf,SXRV.DE,,EUR,XETRA,assumed,,etf_core,
DE0002635307,iShares STOXX Europe 600 UCITS ETF,etf,EXSA.DE,,EUR,XETRA,assumed,,etf_core,
IDX_GDAXI,DAX (Vergleichsindex),index,^GDAXI,,EUR,XETRA,unavailable,,benchmark,"Nur Vergleichsreihe, nicht handelbar"
IDX_MSCIWORLD,MSCI World (Vergleichsindex),index,URTH,,USD,NYSEARCA,unavailable,,benchmark,"Nur Vergleichsreihe, nicht handelbar"
IDX_SP500,S&P 500 (Vergleichsindex),index,^GSPC,,USD,NYSE,unavailable,,benchmark,"Nur Vergleichsreihe, nicht handelbar"
IDX_STOXX600,STOXX Europe 600 (Vergleichsindex),index,^STOXX,,EUR,STOXX,unavailable,,benchmark,"Nur Vergleichsreihe, nicht handelbar"
US88579Y1010,3M,stock,MMM,mmm.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
CH0012221716,ABB,stock,ABBN.SW,,CHF,SWX,assumed,,eu_largecap,Abrechnung bei TR in EUR
US0079031078,AMD,stock,AMD,amd.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
NL0010273215,ASML,stock,ASML.AS,,EUR,AMS,assumed,,eu_largecap,
US00206R1023,AT&T,stock,T,t.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
FR0000120628,AXA,stock,CS.PA,,EUR,PAR,assumed,,eu_largecap,
US00287Y1091,AbbVie,stock,ABBV,abbv.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US0028241000,Abbott Laboratories,stock,ABT,abt.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US00724F1012,Adobe,stock,ADBE,adbe.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
NL0012969182,Adyen,stock,ADYEN.AS,,EUR,AMS,assumed,,eu_largecap,
NL0011794037,Ahold Delhaize,stock,AD.AS,,EUR,AMS,assumed,,eu_largecap,
FR0000120073,Air Liquide,stock,AI.PA,,EUR,PAR,assumed,,eu_largecap,
US0090661010,Airbnb,stock,ABNB,abnb.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
NL0000235190,Airbus,stock,AIR.DE,,EUR,XETRA,assumed,,eu_largecap,
DE0008404005,Allianz,stock,ALV.DE,alv.de,EUR,XETRA,assumed,,de_largecap,
US02079K3059,Alphabet A,stock,GOOGL,googl.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US0231351067,Amazon,stock,AMZN,amzn.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US0311621009,Amgen,stock,AMGN,amgn.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US0378331005,Apple,stock,AAPL,aapl.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US0382221051,Applied Materials,stock,AMAT,amat.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
GB0009895292,AstraZeneca,stock,AZN.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
DE0006766504,Aurubis,stock,NDA.DE,nda.de,EUR,XETRA,assumed,,de_largecap,
DE000BASF111,BASF,stock,BAS.DE,bas.de,EUR,XETRA,assumed,,de_largecap,
ES0113211835,BBVA,stock,BBVA.MC,,EUR,MAD,assumed,,eu_largecap,
DE0005190003,BMW,stock,BMW.DE,bmw.de,EUR,XETRA,assumed,,de_largecap,
FR0000131104,BNP Paribas,stock,BNP.PA,,EUR,PAR,assumed,,eu_largecap,
GB0007980591,BP,stock,BP.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
ES0113900J37,Banco Santander,stock,SAN.MC,,EUR,MAD,assumed,,eu_largecap,
US0605051046,Bank of America,stock,BAC,bac.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE000BAY0017,Bayer,stock,BAYN.DE,bayn.de,EUR,XETRA,assumed,,de_largecap,
DE0005158703,Bechtle,stock,BC8.DE,bc8.de,EUR,XETRA,assumed,,de_largecap,
DE0005200000,Beiersdorf,stock,BEI.DE,bei.de,EUR,XETRA,assumed,,de_largecap,
US0846707026,Berkshire Hathaway B,stock,BRK-B,brk-b.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US09260D1072,Blackstone,stock,BX,bx.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US0970231058,Boeing,stock,BA,ba.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US09857L1089,Booking Holdings,stock,BKNG,bkng.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
DE000A1DAHH0,Brenntag,stock,BNR.DE,bnr.de,EUR,XETRA,assumed,,de_largecap,
US11135F1012,Broadcom,stock,AVGO,avgo.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0005470306,CTS Eventim,stock,EVD.DE,evd.de,EUR,XETRA,assumed,,de_largecap,
DE0005313704,Carl Zeiss Meditec,stock,AFX.DE,afx.de,EUR,XETRA,assumed,,de_largecap,
US1491231015,Caterpillar,stock,CAT,cat.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US8085131055,Charles Schwab,stock,SCHW,schw.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US1667641005,Chevron,stock,CVX,cvx.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US17275R1023,Cisco Systems,stock,CSCO,csco.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US1729674242,Citigroup,stock,C,c.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US1912161007,Coca-Cola,stock,KO,ko.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US1941621039,Colgate-Palmolive,stock,CL,cl.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US20030N1019,Comcast,stock,CMCSA,cmcsa.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
DE000CBK1001,Commerzbank,stock,CBK.DE,cbk.de,EUR,XETRA,assumed,,de_largecap,
DE0005439004,Continental,stock,CON.DE,con.de,EUR,XETRA,assumed,,de_largecap,
US22160K1051,Costco,stock,COST,cost.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US22788C1053,CrowdStrike,stock,CRWD,crwd.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0005552004,DHL Group,stock,DHL.DE,dhl.de,EUR,XETRA,assumed,,de_largecap,
DE000DTR0CK8,Daimler Truck,stock,DTG.DE,dtg.de,EUR,XETRA,assumed,,de_largecap,
US2358511028,Danaher,stock,DHR,dhr.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US2441991054,Deere & Co,stock,DE,de.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0005140008,Deutsche Bank,stock,DBK.DE,dbk.de,EUR,XETRA,assumed,,de_largecap,
DE0005810055,Deutsche Boerse,stock,DB1.DE,db1.de,EUR,XETRA,assumed,,de_largecap,
DE0005557508,Deutsche Telekom,stock,DTE.DE,dte.de,EUR,XETRA,assumed,,de_largecap,
GB0002374006,Diageo,stock,DGE.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
DE0005565204,Duerr,stock,DUE.DE,due.de,EUR,XETRA,assumed,,de_largecap,
DE000ENAG999,E.ON,stock,EOAN.DE,eoan.de,EUR,XETRA,assumed,,de_largecap,
US5324571083,Eli Lilly,stock,LLY,lly.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
IT0003128367,Enel,stock,ENEL.MI,,EUR,MIL,assumed,,eu_largecap,
IT0003132476,Eni,stock,ENI.MI,,EUR,MIL,assumed,,eu_largecap,
DE000EVNK013,Evonik,stock,EVK.DE,evk.de,EUR,XETRA,assumed,,de_largecap,
US30231G1022,Exxon Mobil,stock,XOM,xom.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US31428X1063,FedEx,stock,FDX,fdx.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
NL0011585146,Ferrari,stock,RACE.MI,,EUR,MIL,assumed,,eu_largecap,
DE0005773303,Fraport,stock,FRA.DE,fra.de,EUR,XETRA,assumed,,de_largecap,
DE000A0Z2ZZ5,Freenet,stock,FNTN.DE,fntn.de,EUR,XETRA,assumed,,de_largecap,
DE0005785604,Fresenius,stock,FRE.DE,fre.de,EUR,XETRA,assumed,,de_largecap,
DE0005785802,Fresenius Medical Care,stock,FME.DE,fme.de,EUR,XETRA,assumed,,de_largecap,
GB00BN7SWP63,GSK,stock,GSK.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
DE000A0LD6E6,Gerresheimer,stock,GXI.DE,gxi.de,EUR,XETRA,assumed,,de_largecap,
US3755581036,Gilead Sciences,stock,GILD,gild.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US38141G1040,Goldman Sachs,stock,GS,gs.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
GB0005405286,HSBC Holdings,stock,HSBA.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
DE0008402215,Hannover Rueck,stock,HNR1.DE,hnr1.de,EUR,XETRA,assumed,,de_largecap,
DE0006047004,Heidelberg Materials,stock,HEI.DE,hei.de,EUR,XETRA,assumed,,de_largecap,
DE0006048432,Henkel Vz,stock,HEN3.DE,hen3.de,EUR,XETRA,assumed,,de_largecap,
FR0000052292,Hermes International,stock,RMS.PA,,EUR,PAR,assumed,,eu_largecap,
DE0006070006,Hochtief,stock,HOT.DE,hot.de,EUR,XETRA,assumed,,de_largecap,
US4370761029,Home Depot,stock,HD,hd.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US4385161066,Honeywell,stock,HON,hon.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
DE000A1PHFF7,Hugo Boss,stock,BOSS.DE,boss.de,EUR,XETRA,assumed,,de_largecap,
US4592001014,IBM,stock,IBM,ibm.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
NL0011821202,ING Groep,stock,INGA.AS,,EUR,AMS,assumed,,eu_largecap,
ES0144580Y14,Iberdrola,stock,IBE.MC,,EUR,MAD,assumed,,eu_largecap,
ES0148396007,Inditex,stock,ITX.MC,,EUR,MAD,assumed,,eu_largecap,
DE0006231004,Infineon,stock,IFX.DE,ifx.de,EUR,XETRA,assumed,,de_largecap,
US4581401001,Intel,stock,INTC,intc.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
IT0000072618,Intesa Sanpaolo,stock,ISP.MI,,EUR,MIL,assumed,,eu_largecap,
US4612021034,Intuit,stock,INTU,intu.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US46625H1005,JPMorgan Chase,stock,JPM,jpm.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US4781601046,Johnson & Johnson,stock,JNJ,jnj.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0006219934,Jungheinrich Vz,stock,JUN3.DE,jun3.de,EUR,XETRA,assumed,,de_largecap,
DE000KSAG888,K+S,stock,SDF.DE,sdf.de,EUR,XETRA,assumed,,de_largecap,
DE000KGX8881,KION Group,stock,KGX.DE,kgx.de,EUR,XETRA,assumed,,de_largecap,
DE000KBX1006,Knorr-Bremse,stock,KBX.DE,kbx.de,EUR,XETRA,assumed,,de_largecap,
DE0006335003,Krones,stock,KRN.DE,krn.de,EUR,XETRA,assumed,,de_largecap,
FR0000120321,L'Oreal,stock,OR.PA,,EUR,PAR,assumed,,eu_largecap,
DE000LEG1110,LEG Immobilien,stock,LEG.DE,leg.de,EUR,XETRA,assumed,,de_largecap,
FR0000121014,LVMH,stock,MC.PA,,EUR,PAR,assumed,,eu_largecap,
DE0005470405,Lanxess,stock,LXS.DE,lxs.de,EUR,XETRA,assumed,,de_largecap,
IE000S9YS762,Linde,stock,LIN,lin.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US5398301094,Lockheed Martin,stock,LMT,lmt.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US5486611073,Lowe's,stock,LOW,low.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0008232125,Lufthansa,stock,LHA.DE,lha.de,EUR,XETRA,assumed,,de_largecap,
